first_name,age,genre,books_read
sue,32,sci-fi,8
sue,32,biography,4
eli,3,fantasy,1
bob,75,mystery,12
bob,75,historical fiction,4
bob,75,thriller,3
bob,75,biography,5
theo,13,sci-fi,2
theo,13,fiction,3
mary,25,historical fiction,3
mary,25,mystery,7
mary,25,dystopian,8
mary,25,romance,8
mary,25,satire,4
mary,25,sci-fi,14
mary,25,memoir,16
john,50,dystopian,8
john,50,thriller,12
john,50,true crime,3
jane,61,romance,20
jane,61,historical fiction,12
ally,42,biography,14
ally,42,memoir,9
alex,19,sci-fi,14
eve,8,fantasy,7
josh,22,satire,3
josh,22,thriller,8
martin,29,historical fiction,10
martin,29,sci-fi,3
martin,29,mystery,1
